Leg_ID,LegType,PayReceive,Pay_Date,Amount,DF,PV
Leg2_Fx,FIXED,-1,2025-10-30,-1068.49,0.999223,-1067.66
Leg2_Fx,FIXED,-1,2025-11-28,-1032.88,0.998173,-1030.99
Leg2_Fx,FIXED,-1,2025-12-30,-1139.73,0.997294,-1136.64
Leg2_Fx,FIXED,-1,2026-01-30,-1104.11,0.996967,-1100.76
Leg2_Fx,FIXED,-1,2026-02-27,-997.26,0.996687,-993.956
Leg2_Fx,FIXED,-1,2026-03-30,-1104.11,0.996377,-1100.11
Leg2_Fx,FIXED,-1,2026-04-30,-1104.11,0.996219,-1099.94
Leg2_Fx,FIXED,-1,2026-05-29,-1032.88,0.996076,-1028.82
Leg2_Fx,FIXED,-1,2026-06-30,-1139.73,0.995919,-1135.07
Leg2_Fx,FIXED,-1,2026-07-30,-1068.49,0.995771,-1063.98
Leg2_Fx,FIXED,-1,2026-08-31,-1139.73,0.995614,-1134.73
Leg3_Flt,IBOR,1,2025-10-30,1599.2,0.999223,1597.95
Leg3_Flt,IBOR,1,2025-11-28,1846.47,0.998173,1843.1
Leg3_Flt,IBOR,1,2025-12-30,1758.86,0.997294,1754.1
Leg3_Flt,IBOR,1,2026-01-30,1177.27,0.996967,1173.7
Leg3_Flt,IBOR,1,2026-02-27,1048.06,0.996687,1044.58
Leg3_Flt,IBOR,1,2026-03-30,1160.35,0.996377,1156.15
Leg3_Flt,IBOR,1,2026-04-30,1007.51,0.996219,1003.7
Leg3_Flt,IBOR,1,2026-05-29,937.739,0.996076,934.059
Leg3_Flt,IBOR,1,2026-06-30,1034.75,0.995919,1030.52
Leg3_Flt,IBOR,1,2026-07-30,970.075,0.995771,965.973
Leg3_Flt,IBOR,1,2026-08-31,1034.75,0.995614,1030.21
