Leg_ID,LegType,PayReceive,Pay_Date,Amount,DF,PV
Leg1_Fx,FIXED,-1,2025-10-30,-2208.22,0.999223,-2206.5
Leg1_Fx,FIXED,-1,2025-12-30,-2172.6,0.997294,-2166.72
Leg1_Fx,FIXED,-1,2026-02-27,-2101.37,0.996687,-2094.41
Leg1_Fx,FIXED,-1,2026-04-30,-2208.22,0.996219,-2199.87
Leg1_Fx,FIXED,-1,2026-06-30,-2172.6,0.995919,-2163.74
Leg1_Fx,FIXED,-1,2026-08-31,-2208.22,0.995614,-2198.53
Leg2_Rfr,RFR,1,2025-10-30,4694.8,0.999223,4691.16
Leg2_Rfr,RFR,1,2025-12-30,3606.26,0.997294,3596.5
Leg2_Rfr,RFR,1,2026-02-27,2225.42,0.996687,2218.05
Leg2_Rfr,RFR,1,2026-04-30,2167.91,0.996219,2159.71
Leg2_Rfr,RFR,1,2026-06-30,1972.51,0.995919,1964.46
Leg2_Rfr,RFR,1,2026-08-31,2004.85,0.995614,1996.05
Leg3_Flt,IBOR,1,2025-10-30,2475.91,0.999223,2473.99
Leg3_Flt,IBOR,1,2025-12-30,3606.26,0.997294,3596.5
Leg3_Flt,IBOR,1,2026-02-27,2225.42,0.996687,2218.05
Leg3_Flt,IBOR,1,2026-04-30,2167.91,0.996219,2159.71
Leg3_Flt,IBOR,1,2026-06-30,1972.51,0.995919,1964.46
Leg3_Flt,IBOR,1,2026-08-31,2004.85,0.995614,1996.05
